,STATIONS_LOOKUP,STATIONS_MTA,ZIPS,GEOCODES
214,"YORK ST station, New York, NY",YORK ST,11201.0,"[40.7013507, -73.9866028]"
215,"BERGEN ST station, New York, NY",BERGEN ST,11201.0,"[40.6868943, -73.9905278]"
217,"SMITH-9 ST station, New York, NY",SMITH-9 ST,11231.0,"[40.6746048, -73.99703970000002]"
218,"4 AV-9 ST station, New York, NY",4 AV-9 ST,11215.0,"[40.6705107, -73.99005819999999]"
219,"15 ST-PROSPECT station, New York, NY",15 ST-PROSPECT,11215.0,"[40.6606742, -73.97947780000001]"
220,"DITMAS AV station, New York, NY",DITMAS AV,11218.0,"[40.6354536, -73.9782548]"
221,"AVENUE I station, New York, NY",AVENUE I,11230.0,"[40.6253221, -73.9761347]"
224,"AVENUE X station, New York, NY",AVENUE X,11223.0,"[40.58962, -73.97425]"
226,"57 ST station, New York, NY",57 ST,10106.0,"[40.765564, -73.9803309]"
229,"21 ST-QNSBRIDGE station, New York, NY",21 ST-QNSBRIDGE,11101.0,"[40.75417770000001, -73.94247419999999]"
234,"86 ST-2 AVE station, New York, NY",86 ST-2 AVE,10028.0,"[40.7778805, -73.95147279999999]"
236,"ORCHARD BEACH station, New York, NY",ORCHARD BEACH,10464.0,"[40.86758, -73.79933199999999]"
238,"HARRISON station, New York, NY",HARRISON,7029.0,"[40.7394438, -74.1558766]"
244,"CHRISTOPHER ST station, New York, NY",CHRISTOPHER ST,10014.0,"[40.73347070000001, -74.0030617]"
246,"14TH STREET station, New York, NY",14TH STREET,10011.0,"[40.7371991, -73.996692]"
248,"THIRTY ST station, New York, NY",THIRTY ST,11102.0,"[40.7669827, -73.9214372]"
252,"NEWARK C station, New York, NY",NEWARK C,7114.0,"[40.6960235, -74.1774835]"
257,"WALL ST station, New York, NY",WALL ST,10038.0,"[40.7062917, -74.0094884]"
259,"HOUSTON ST station, New York, NY",HOUSTON ST,10014.0,"[40.728251, -74.00536699999999]"
260,"18 ST station, New York, NY",18 ST,10011.0,"[40.74104, -73.997871]"
261,"66 ST-LINCOLN station, New York, NY",66 ST-LINCOLN,10023.0,"[40.7735874, -73.9820172]"
262,"72 ST station, New York, NY",72 ST,10021.0,"[40.7686549, -73.9584259]"
263,"CATHEDRAL PKWY station, New York, NY",CATHEDRAL PKWY,10025.0,"[40.8039733, -73.9666165]"
266,"157 ST station, New York, NY",157 ST,10032.0,"[40.8342387, -73.9450796]"
267,"191 ST station, New York, NY",191 ST,10040.0,"[40.8553621, -73.9295207]"
268,"207 ST station, New York, NY",207 ST,10034.0,"[40.8677304, -73.9212226]"
270,"MARBLE HILL-225 station, New York, NY",MARBLE HILL-225,10034.0,"[40.874561, -73.909831]"
271,"231 ST station, New York, NY",231 ST,10463.0,"[40.8789934, -73.9049454]"
272,"238 ST station, New York, NY",238 ST,10463.0,"[40.884667, -73.90087]"
274,"BOWLING GREEN station, New York, NY",BOWLING GREEN,10004.0,"[40.7046465, -74.013544]"
275,"BROOKLYN BRIDGE station, New York, NY",BROOKLYN BRIDGE,10013.0,"[40.7130543, -74.00410269999999]"
276,"BLEECKER ST station, New York, NY",BLEECKER ST,10012.0,"[40.725323, -73.9954935]"
277,"ASTOR PL station, New York, NY",ASTOR PL,10003.0,"[40.7298544, -73.9913978]"
278,"33 ST station, New York, NY",33 ST,10001.0,"[40.7485354, -73.98854659999999]"
279,"GRD CNTRL-42 ST station, New York, NY",GRD CNTRL-42 ST,10017.0,"[40.7521647, -73.97715339999999]"
281,"68ST-HUNTER CO station, New York, NY",68ST-HUNTER CO,10021.0,"[40.76786999999999, -73.963894]"
283,"138/GRAND CONC station, New York, NY",138/GRAND CONC,10451.0,"[40.81313, -73.929683]"
284,"149/GRAND CONC station, New York, NY",149/GRAND CONC,10451.0,"[40.818323, -73.92718280000001]"
285,"MT EDEN AV station, New York, NY",MT EDEN AV,10452.0,"[40.844434, -73.91468499999999]"
286,"176 ST station, New York, NY",176 ST,10453.0,"[40.84848, -73.911794]"
287,"BURNSIDE AV station, New York, NY",BURNSIDE AV,10453.0,"[40.85345299999999, -73.90768400000002]"
288,"183 ST station, New York, NY",183 ST,10453.0,"[40.8583924, -73.90397810000002]"
289,"MOSHOLU PKWY station, New York, NY",MOSHOLU PKWY,10467.0,"[40.87975, -73.884655]"
292,"HARLEM 148 ST station, New York, NY",HARLEM 148 ST,10039.0,"[40.8240504, -73.9369385]"
293,"3 AV-149 ST station, New York, NY",3 AV-149 ST,10455.0,"[40.816129, -73.917811]"
295,"INTERVALE AV station, New York, NY",INTERVALE AV,10459.0,"[40.8222491, -73.89673669999999]"
296,"SIMPSON ST station, New York, NY",SIMPSON ST,10459.0,"[40.8243698, -73.8928895]"
299,"WEST FARMS SQ station, New York, NY",WEST FARMS SQ,10460.0,"[40.8405495, -73.8795944]"
300,"E 180 ST station, New York, NY",E 180 ST,10460.0,"[40.841894, -73.873488]"
301,"BRONX PARK EAST station, New York, NY",BRONX PARK EAST,10462.0,"[40.848828, -73.86845699999999]"
303,"ALLERTON AV station, New York, NY",ALLERTON AV,10467.0,"[40.8654419, -73.867245]"
304,"BURKE AV station, New York, NY",BURKE AV,10467.0,"[40.871356, -73.867164]"
307,"225 ST station, New York, NY",225 ST,10034.0,"[40.874561, -73.909831]"
308,"233 ST station, New York, NY",233 ST,10466.0,"[40.893193, -73.85747300000001]"
